title,url,publishedAt
Apple iPad Air 2020 review: a cheaper iPad Pro for the rest of us,https://www.theguardian.com/technology/2020/oct/26/apple-ipad-air-2020-review-a-cheaper-ipad-pro-for-the-rest-of-us-battery-camera,2020-10-26T07:00:16Z
"Fiona Apple on the album of the year, Grammys hypocrisy and how #MeToo helped her get sober",https://www.theguardian.com/music/2020/dec/18/fiona-apple-i-finally-believed-myself-it-felt-great,2020-12-18T06:00:00Z
Apple imported clothes from Xinjiang firm facing US forced labour sanctions,https://www.theguardian.com/technology/2020/aug/10/apple-imported-clothes-from-xinjiang-firm-facing-us-forced-labour-sanctions,2020-08-10T04:00:01Z
Country diary: hard pressed to gather an abundance of apples,https://www.theguardian.com/food/2020/nov/23/country-diary-hard-pressed-to-gather-an-abundance-of-apples,2020-11-23T05:30:42Z
Tim Cook joins the billionaire club as Apple nears $2tn valuation,https://www.theguardian.com/technology/2020/aug/11/tim-cook-joins-the-billionaire-club-as-apple-nears-2tn-valuation,2020-08-11T11:37:12Z
Beats Flex review: Apple's budget Bluetooth earbuds,https://www.theguardian.com/technology/2020/nov/17/beats-flex-review-apple-budget-bluetooth-earbuds,2020-11-17T07:00:29Z
Google and Apple to roll out phase two of contact-tracing system,https://www.theguardian.com/technology/2020/aug/27/google-and-apple-to-roll-out-phase-two-of-contact-tracing-system,2020-08-27T14:29:13Z
Google and Apple to roll out phase two of contact-tracing system,https://www.theguardian.com/technology/2020/aug/27/google-and-apple-to-roll-out-phase-two-of-contact-tracing-system,2020-08-27T14:29:13Z
Apple whistleblower goes public over 'lack of action',https://www.theguardian.com/technology/2020/may/20/apple-whistleblower-goes-public-over-lack-of-action,2020-05-20T04:00:16Z
Clashes over Tory plan to seed the UK's next Apple with state aid,https://www.theguardian.com/technology/2020/sep/12/clashes-over-tory-plan-to-seed-the-uks-next-apple-with-state-aid,2020-09-12T15:00:34Z
Apple to reduce its cut from in-app purchases as it faces new lawsuit from Fortnite maker,https://www.theguardian.com/technology/2020/nov/18/apple-to-reduce-its-cut-from-in-app-purchases-as-it-faces-new-lawsuit-from-fortnite-maker,2020-11-18T11:00:39Z
iPhone 12 launch: Apple gets 5G and reveals new iPhone 12 Mini – as it happened,https://www.theguardian.com/technology/live/2020/oct/13/iphone-12-launch-live-apple-introduces-5g-phones,2020-10-13T18:28:31Z
Hong Kong rallies around Apple Daily after arrest of founder Jimmy Lai,https://www.theguardian.com/world/2020/aug/11/hong-kongs-apple-daily-vows-to-fight-on-after-arrest-of-jimmy-lai,2020-08-11T08:44:05Z
Apple launches 13in MacBook Pro with Magic Keyboard,https://www.theguardian.com/technology/2020/may/04/apple-launches-13in-macbook-pro-new-magic-keyboard,2020-05-04T14:40:35Z
Apple iOS 14: new features coming to iPad and iPhone,https://www.theguardian.com/technology/2020/jun/22/apple-ios-14-new-features-coming-to-ipad-and-iphone,2020-06-22T18:46:29Z
Microsoft president's criticism of app stores puts pressure on Apple,https://www.theguardian.com/technology/2020/jun/21/microsoft-presidents-criticism-of-app-stores-puts-pressure-on-apple,2020-06-21T20:25:01Z
UK abandons contact-tracing app for Apple and Google model,https://www.theguardian.com/world/2020/jun/18/uk-poised-to-abandon-coronavirus-app-in-favour-of-apple-and-google-models,2020-06-18T19:08:35Z
Apple update to allow iPhone users to choose default apps,https://www.theguardian.com/technology/2020/jun/23/apple-update-iphone-default-apps-update-gmail-firefox,2020-06-23T12:00:13Z
An apple a day? Four GPs on the top health advice they give and follow,https://www.theguardian.com/lifeandstyle/2020/oct/05/an-apple-a-day-four-gps-on-the-top-health-advice-they-give-and-follow,2020-10-04T16:30:57Z
UK inflation rises as lockdown eases; Apple hits $2tn value - as it happened,https://www.theguardian.com/business/live/2020/aug/19/uk-inflation-lockdown-clothing-oil-cpi-rpi-stock-markets-business-live,2020-08-19T16:40:21Z
Apple Pay and App Store face investigation over competition rules,https://www.theguardian.com/technology/2020/jun/16/apple-pay-and-app-store-face-investigation-over-competition-rules,2020-06-16T11:59:30Z
Bruised or old apples are perfect for this chocolate charlotte - recipe | Waste not,https://www.theguardian.com/food/2020/nov/14/bruised-or-old-apples-are-perfect-for-this-chocolate-charlotte-recipe,2020-11-14T06:00:01Z
"Apple iPad 2020 review: all the iPad you need, none of the tablet you don’t",https://www.theguardian.com/technology/2020/sep/30/apple-ipad-2020-review-tablet-faster-cost,2020-09-30T06:00:32Z
HomePod mini review: Apple’s smaller and cheaper smart speaker,https://www.theguardian.com/technology/2020/nov/12/homepod-mini-review-apple-smaller-and-cheaper-smart-speaker,2020-11-12T14:00:24Z
The Guardian’s experience implementing Sign in with Apple on Android,https://www.theguardian.com/info/2020/jun/12/the-guardians-experience-implementing-sign-in-with-apple-on-android,2020-06-12T09:22:01Z
Margrethe Vestager 100% correct over public mood on Apple tax case | Nils Pratley,https://www.theguardian.com/technology/nils-pratley-on-finance/2020/jul/15/margrethe-vestager-100-correct-over-public-mood-on-apple-tax-case-brussels-court-defeat,2020-07-15T23:01:04Z
How to make toffee apples – recipe | Felicity Cloake's masterclass,https://www.theguardian.com/food/2020/oct/31/how-to-make-toffee-apples-recipe-felicity-cloake,2020-10-31T11:00:49Z
How to eat: apple crumble,https://www.theguardian.com/food/2020/jan/10/how-to-eat-apple-crumble,2020-01-10T12:06:07Z
Snapchat firm unveils platform plan to take on Google and Apple,https://www.theguardian.com/technology/2020/jun/15/snapchat-firm-unveils-platform-plan-to-take-on-google-and-apple,2020-06-15T15:52:53Z
iPhone 12 Pro Max review: Apple's longer lasting superphone,https://www.theguardian.com/technology/2020/nov/26/iphone-12-pro-max-review-apples-longer-lasting-superphone,2020-11-26T07:00:52Z
Why are Google and Apple dictating how European democracies fight coronavirus? |  Ieva Ilves,https://www.theguardian.com/commentisfree/2020/jun/16/google-apple-dictating-european-democracies-coronavirus,2020-06-16T08:00:37Z
Easy as pie: 17 mouth-watering apple recipes – from tarte tatin to roast pork belly,https://www.theguardian.com/lifeandstyle/2020/sep/09/easy-as-pie-17-mouth-watering-apple-recipes-from-tarte-tatin-to-roast-pork-belly,2020-09-09T10:30:12Z
Apple removes two podcast apps from China store after censorship demands,https://www.theguardian.com/technology/2020/jun/12/apple-removes-two-podcast-apps-from-china-store-after-censorship-demands,2020-06-12T12:13:07Z
iPhone 12 review: Apple's best since the iPhone X,https://www.theguardian.com/technology/2020/oct/29/iphone-12-review-apple-best-since-the-iphone-x-battery-camera-screen,2020-10-29T07:00:07Z
Apple under pressure to act after TikTok pulls out of Hong Kong,https://www.theguardian.com/world/2020/jul/07/tiktok-pulls-out-of-hong-kong-as-police-get-sweeping-new-powers,2020-07-07T10:28:18Z
How to grow crab apple trees | Alys Fowler,https://www.theguardian.com/lifeandstyle/2020/feb/01/how-to-grow-crab-apple-trees,2020-02-01T11:00:13Z
Privacy is not the problem with the Apple-Google contact-tracing toolkit | Michael Veale,https://www.theguardian.com/commentisfree/2020/jul/01/apple-google-contact-tracing-app-tech-giant-digital-rights,2020-07-01T06:00:14Z
"Netflix, Apple and Stan could be required to boost Australian content",https://www.theguardian.com/film/2020/jun/11/netflix-apple-and-stan-could-be-required-to-boost-australian-content,2020-06-10T17:30:27Z
Apple 13in MacBook Pro review 2020: going out on a high?,https://www.theguardian.com/technology/2020/jun/01/apple-13in-macbook-pro-review-2020-going-out-on-a-high,2020-06-01T06:00:34Z
Apple warns of coronavirus causing iPhone shortages,https://www.theguardian.com/technology/2020/feb/17/apple-warns-of-coronavirus-causing-iphone-shortages,2020-02-17T22:42:57Z
"Apple does not need to pay €13bn Irish tax bill, EU court rules",https://www.theguardian.com/technology/2020/jul/15/apple-does-not-need-to-pay-13bn-irish-tax-bill-court-rules,2020-07-15T11:52:42Z
Apple ditches Intel for ARM processors in Mac computers with Big Sur,https://www.theguardian.com/technology/2020/jun/22/apple-ditches-intel-for-arm-processors-in-big-sur-computers,2020-06-23T03:49:46Z
The EU's bite at Apple could prove to be a game-changer | Nils Pratley,https://www.theguardian.com/business/nils-pratley-on-finance/2020/jun/16/the-eus-bite-at-apple-could-prove-to-be-a-game-changer,2020-06-16T18:27:13Z
"Apple News algorithms pick more celeb stories than human editors, study finds",https://www.theguardian.com/technology/2020/jun/15/apple-news-algorithms-pick-more-celeb-stories-than-human-editors-says-study,2020-06-15T15:43:12Z
Apple fined record €1.1bn by French competition regulator,https://www.theguardian.com/technology/2020/mar/16/apple-fined-record-11bn-by-french-competition-regulator,2020-03-16T18:55:59Z
Apples review – splendidly poignant and creepy pandemic drama,https://www.theguardian.com/film/2020/sep/02/apples-review-splendidly-poignant-and-creepy-pandemic-drama,2020-09-02T16:39:27Z
"Tracks of the week reviewed: Fiona Apple, Charli XCX, Kiesza",https://www.theguardian.com/music/2020/apr/24/fiona-apple-track-of-the-week,2020-04-24T10:00:14Z
Cider maker swamped by apples as orchard renaissance starts to bear fruit,https://www.theguardian.com/environment/2020/oct/23/how-an-orchard-renaissance-could-bring-nature-back-to-uk-cities,2020-10-23T06:45:02Z
Fiona Apple: where to start in her back catalogue,https://www.theguardian.com/music/2020/mar/27/fiona-apple-listeners-digest-where-to-start-when-the-pawn,2020-03-27T12:18:06Z
Fiona Apple: Fetch the Bolt Cutters review – a glorious eruption,https://www.theguardian.com/music/2020/apr/17/fiona-apple-fetch-the-bolt-cutters-review,2020-04-17T08:00:08Z
NHS in standoff with Apple and Google over coronavirus tracing,https://www.theguardian.com/technology/2020/apr/16/nhs-in-standoff-with-apple-and-google-over-coronavirus-tracing,2020-04-16T13:35:34Z
WWDC 2020: Apple leaves Intel and retires Mac OS X – as it happened,https://www.theguardian.com/technology/live/2020/jun/22/apple-expected-to-reveal-new-macs-iphone-updates-and-more-live,2020-06-22T19:33:33Z
Apple's surprise OS update leaves app developers scrambling,https://www.theguardian.com/technology/2020/sep/17/apples-surprise-os-update-leaves-app-developers-scrambling,2020-09-17T13:43:46Z
Apple and Google release phone technology to notify users of coronavirus exposure,https://www.theguardian.com/technology/2020/may/20/apple-google-phone-app-trace-coronavirus,2020-05-20T22:51:13Z
Apple MacBook Air review: 2020's near-perfect consumer laptop,https://www.theguardian.com/technology/2020/apr/07/apple-macbook-air-review-2020-near-perfect-consumer-laptop,2020-04-07T06:00:19Z
"Joe Trivelli’s recipes for lamb chops, panada, bagna càuda and apples cake",https://www.theguardian.com/food/2020/oct/25/joe-trivellis-recipes-for-lamb-chops-panada-bagna-cauda-and-apples-cake,2020-10-25T10:30:05Z
Apples from 'perfect harvest' rot on the ground as demand for cider slumps,https://www.theguardian.com/environment/2020/sep/27/apples-from-perfect-harvest-rot-on-the-ground-as-demand-for-cider-slumps,2020-09-27T07:00:38Z
Apples from 'perfect harvest' rot on the ground as demand for cider slumps,https://www.theguardian.com/environment/2020/sep/27/apples-from-perfect-harvest-rot-on-the-ground-as-demand-for-cider-slumps,2020-09-27T07:00:38Z
UK may ditch NHS contact-tracing app for Apple and Google model,https://www.theguardian.com/technology/2020/may/07/uk-may-ditch-nhs-contact-tracing-app-for-apple-and-google-model,2020-05-07T19:54:42Z
"Fiona Apple: Fetch the Bolt Cutters review – a strange, exceptional record",https://www.theguardian.com/music/2020/apr/18/fiona-apple-fetch-the-bolt-cutters-review-fourth-album-strange-exceptional,2020-04-18T13:00:10Z
"Diets rich in tea, berries and apples could lower blood pressure – study",https://www.theguardian.com/science/2020/oct/21/diets-rich-in-tea-berries-and-apples-could-lower-blood-pressure-study,2020-10-21T11:06:41Z
Mariah Carey's All I Want for Christmas Is You reaches UK No 1 after 26 years,https://www.theguardian.com/music/2020/dec/11/mariah-carey-all-i-want-for-christmas-is-you-reaches-no-1-after-26-years,2020-12-11T18:00:15Z
Apple unveils iPad Pro with 3D scanner in major redesign,https://www.theguardian.com/technology/2020/mar/18/apple-unveils-ipad-pro-with-3d-scanner-in-major-redesign,2020-03-18T13:57:46Z
Durgamati: The Myth review – haunted house goes under the Hammer,https://www.theguardian.com/film/2020/dec/10/durgamati-the-myth-review-haunted-house-goes-under-the-hammer,2020-12-10T18:30:06Z
"Apple's one more thing: three new Macs with iPhone-style chips, as it happened",https://www.theguardian.com/technology/live/2020/nov/10/one-more-thing-live-apple-to-introduce-new-macs-with-iphone-chips,2020-11-10T18:51:49Z
Apple's iPhone 12 Mini could mark end of giant smartphone era,https://www.theguardian.com/technology/2020/oct/14/apples-iphone-12-mini-could-mark-the-end-of-the-giant-smartphone-era,2020-10-14T16:30:14Z
"Australians should not dismiss war crimes scandal as just a few 'bad apples', expert says",https://www.theguardian.com/australia-news/2020/dec/02/australians-should-not-dismiss-war-crimes-scandal-as-just-a-few-bad-apples-expert-says,2020-12-01T16:30:05Z
Apple is the best bellwether for the coronavirus fallout,https://www.theguardian.com/business/2020/feb/18/apple-is-the-best-bellwether-for-the-coronavirus-fallout,2020-02-18T14:00:39Z
"Stillwater review – panda pleasures, with a side order of mindfulness",https://www.theguardian.com/tv-and-radio/2020/dec/04/stillwater-review-appletv,2020-12-04T09:00:54Z
Best tablets 2020: our guide for all budgets,https://www.theguardian.com/technology/2020/nov/16/best-tablets-2020-guide-budgets-apple-samsung-amazon-microsoft,2020-11-16T07:00:03Z
France urges Apple and Google to ease privacy rules on contact tracing,https://www.theguardian.com/world/2020/apr/21/france-apple-google-privacy-contact-tracing-coronavirus,2020-04-21T12:03:17Z
Silver Apples synth pioneer Simeon Coxe dies aged 82,https://www.theguardian.com/music/2020/sep/09/silver-apples-simeon-coxe-dies-aged-82,2020-09-09T08:34:09Z
The 50 best albums of 2020: the full list,https://www.theguardian.com/music/2020/dec/01/the-50-best-albums-of-2020,2020-12-18T08:07:59Z
Liam Charles' recipe for maple pecan pear tart | The sweet spot,https://www.theguardian.com/food/2020/nov/28/liam-charles-recipe-baking-maple-pecan-pear-tart,2020-11-28T11:30:06Z
Trump blames racism in policing on 'bad apples' during visit to Kenosha,https://www.theguardian.com/us-news/2020/sep/01/donald-trump-division-kenosha-protests-jacob-blake,2020-09-02T11:43:57Z
Apple and Google not told of UK plans to use their tech with NHS app,https://www.theguardian.com/world/2020/jun/19/apple-and-google-not-told-of-uk-plans-to-use-their-tech-with-nhs-app,2020-06-19T17:48:47Z
Currys website crash wipes out £250-worth of gift cards,https://www.theguardian.com/money/2020/dec/15/currys-website-crash-wipes-out-250-worth-of-gift-cards,2020-12-15T07:00:04Z
What Australians need to know about Apple and Google's coronavirus tracking app,https://www.theguardian.com/world/2020/apr/14/what-australians-need-to-know-about-apple-and-googles-coronavirus-tracking-app,2020-04-14T07:00:10Z
Apple does not 'let bad guys use iPhones on screen',https://www.theguardian.com/technology/2020/feb/26/apple-does-not-let-bad-guys-use-iphones-on-screen,2020-02-26T17:48:16Z
Is it payback time for Apple as the EU goes after its licences to print money? | John Naughton,https://www.theguardian.com/commentisfree/2020/jun/27/is-it-payback-time-for-apple-as-the-eu-goes-after-its-licences-to-print-money,2020-06-27T15:00:05Z
Apple may be forced to disclose censorship requests from China,https://www.theguardian.com/technology/2020/feb/25/apple-censorship-requests-china-shareholder-groups-proposal,2020-02-25T07:00:43Z
How has my fresh British apple survived though the winter?,https://www.theguardian.com/lifeandstyle/2020/feb/18/fresh-british-apple-survive-winter-notes-queries,2020-02-18T13:25:27Z
'Women are so much more than the way we look': Brittany O’Grady on Apple TV's Little Voice,https://www.theguardian.com/tv-and-radio/2020/jul/08/brittany-o-grady-apple-tv-little-voice-musical-drama-sara-bareilles-interview,2020-07-08T09:30:03Z
Silver Apples' Simeon Coxe: visionary who saw music's electronic future,https://www.theguardian.com/music/2020/sep/09/silver-apples-simeon-coxe-visionary-electronic-music,2020-09-09T12:52:17Z
Finally US politicians are taking the fight to the tech giants | John Naughton,https://www.theguardian.com/commentisfree/2020/oct/10/finally-us-politicians-are-taking-the-fight-to-the-tech-giants,2020-10-10T15:00:39Z
"Apple's iOS update will be bad news for developers, but a boon for users | John Naughton",https://www.theguardian.com/commentisfree/2020/sep/05/apples-ios-update-will-be-bad-news-for-developers-but-a-boon-for-users,2020-09-05T15:00:00Z
Katherine Rundell: how a snowy New York inspired my writing,https://www.theguardian.com/travel/2020/dec/19/katherine-rundell-how-a-snowy-new-york-inspired-my-writing,2020-12-19T07:00:42Z
A Bite of the Apple by Lennie Goodings – essential literary memoir,https://www.theguardian.com/books/2020/feb/23/a-bite-of-the-apple-by-lennie-goodings-review,2020-02-23T09:00:48Z
Europe and America are taking on the tech giants. Britain needs to join the fight | Will Hutton,https://www.theguardian.com/commentisfree/2020/oct/18/europe-and-america-are-taking-on-the-tech-giants-britain-needs-to-join-the-fight,2020-10-18T08:00:44Z
Apple closes all stores around world outside China due to Covid-19,https://www.theguardian.com/world/2020/mar/14/apple-closes-all-stores-across-world-outside-china-due-to-covid-19,2020-03-14T13:04:28Z
New York City Ballet: New Works festival review – dancing in the streets and making a splash,https://www.theguardian.com/stage/2020/nov/09/new-york-city-ballet-new-works-festival-review,2020-11-09T16:34:44Z
"16in MacBook Pro review: bigger battery, new keyboard, new Apple",https://www.theguardian.com/technology/2020/jan/21/16in-macbook-pro-review-bigger-battery-new-keyboard-new-apple,2020-01-21T07:00:50Z
iPhone 12 and iPhone 12 Pro review roundup: fresh design and future-proofing,https://www.theguardian.com/technology/2020/oct/20/iphone-12-and-iphone-12-pro-review-roundup-fresh-design-and-future-proofing,2020-10-20T14:57:08Z
How we are changing the way we rate sustainability of consumer electronics,https://www.theguardian.com/technology/2020/dec/29/how-we-are-changing-the-way-we-rate-sustainability-of-consumer-electronics,2020-12-29T07:00:36Z
Fortnite maker Epic plays David to Apple's Goliath in App Store showdown,https://www.theguardian.com/games/2020/aug/14/fortnite-maker-epic-plays-david-to-apples-goliath-in-app-store-showdown,2020-08-14T14:11:57Z
Ted Lasso review – Apple's soccer sitcom plays an unfunny old game,https://www.theguardian.com/tv-and-radio/2020/aug/13/ted-lasso-review-apple-soccer-sitcom-plays-an-unfunny-old-game,2020-08-13T07:00:48Z
Facebook and Google announce plans to become carbon neutral,https://www.theguardian.com/environment/2020/sep/15/facebook-and-google-announce-plans-become-carbon-neutral,2020-09-15T05:00:16Z
Apple and Google team up in bid to use smartphones to track coronavirus spread,https://www.theguardian.com/world/2020/apr/10/apple-google-coronavirus-us-app-privacy,2020-04-10T20:44:48Z
The Knowledge Machine by Michael Strevens review – how science works,https://www.theguardian.com/books/2020/dec/22/the-knowledge-machine-by-michael-strevens-review-how-science-works,2020-12-22T07:30:10Z
Apple bans radio app that is front for Iranian taxi service,https://www.theguardian.com/technology/2020/jan/30/apple-bans-radio-app-that-is-front-for-iranian-taxi-service,2020-01-30T16:42:54Z
Little Voice review – Apple's music comedy hits a bum note,https://www.theguardian.com/tv-and-radio/2020/jul/10/little-voice-review-apple-tv,2020-07-10T10:56:23Z
Apple reports record profits amid concerns over economic impact of coronavirus,https://www.theguardian.com/technology/2020/jan/28/apple-quarterly-earnings-iphone-11,2020-01-28T23:39:54Z
"Triple-chocolate, macadamia and oats: Ravneet Gill's cookie recipes",https://www.theguardian.com/food/2020/nov/07/macadamia-triple-choc-and-oats-ravneet-gill-cookie-recipes,2020-11-07T08:00:05Z
The Taming of the Shrew review – misogynistic comedy is a rotten apple,https://www.theguardian.com/stage/2020/feb/09/the-taming-of-the-shrew-review-sam-wanamaker-playhouse-london-shakespeare,2020-02-09T11:41:49Z
The heavy hand of this national security law is crushing Hong Kong's press | Wai Kong Fung,https://www.theguardian.com/commentisfree/2020/aug/17/hong-kong-national-security-law-jimmy-lai-apple-daily,2020-08-17T12:40:18Z
From Nelson's apple to beef wellington: how war changes the way we eat,https://www.theguardian.com/food/2020/feb/27/from-nelsons-apple-to-beef-wellington-how-war-changes-the-way-we-eat,2020-02-27T08:00:42Z
Monopoly power is running wild. We need tough competition laws to rein it in | Michelle Meagher,https://www.theguardian.com/commentisfree/2020/sep/28/monopoly-power-competition-policy-lawyer-city,2020-09-28T09:00:09Z
California extends strict stay-at-home order as hospital capacity dwindles,https://www.theguardian.com/world/2020/dec/29/california-extends-strict-stay-at-home-order-as-hospital-capacity-dwindles,2020-12-29T22:56:28Z
